Name;Path;Data Type;Logical Address;Comment;Kind;Station
4b_Diffuse_Sensor_10;Standard-Variablentabelle;Bool;%E10.0;;PLC;Standard-Variablentabelle
4b_Roller Conveyor (6m) 1;Forderband;Bool;%A10.5;;PLC;Forderband
4b_Stacker_BeltConveyor_Plastic(6m);Standard-Variablentabelle;Bool;%A10.6;;PLC;Standard-Variablentabelle
4b_Belt Conveyor (4m) 6;Forderband;Bool;%A10.0;;PLC;Forderband
4b_Roller Conveyor (2m) 3;Forderband;Bool;%A10.4;;PLC;Forderband
4b_Pallet_Present;Forderband;Bool;%E10.3;;PLC;Forderband
4b_Diffuse_Sensor_26;Forderband;Bool;%E10.1;;PLC;Forderband
3a_Curved Belt Conveyor 5 CW;Forderband;Bool;%A5.7;;PLC;Forderband
3b_NAch_Waage_Curved_Belt;Forderband;Bool;%A7.6;;PLC;Forderband
4a_Pick & Place 1 (Box Detected);Standard-Variablentabelle;Bool;%E9.0;;PLC;Standard-Variablentabelle
4b_Warning_Light_6;Standard-Variablentabelle;Bool;%A10.7;;PLC;Standard-Variablentabelle
4b_Pick & Place 0 (C Limit);Standard-Variablentabelle;Bool;%E10.4;;PLC;Standard-Variablentabelle
4b_Pick & Place 0 (Moving-Z);Standard-Variablentabelle;Bool;%E10.5;;PLC;Standard-Variablentabelle
4b_Pick & Place 0 (Moving-XY);Standard-Variablentabelle;Bool;%E10.6;;PLC;Standard-Variablentabelle
4b_Pick & Place 0 (Box Detected);Standard-Variablentabelle;Bool;%E10.7;;PLC;Standard-Variablentabelle
4b_Pick & Place 0 X Position (V);Standard-Variablentabelle;Real;%ED86;;PLC;Standard-Variablentabelle
4b_Pick & Place 0 Y Position (V);Standard-Variablentabelle;Real;%ED90;;PLC;Standard-Variablentabelle
4b_Pick & Place 0 Z Position (V);Standard-Variablentabelle;Real;%ED94;;PLC;Standard-Variablentabelle
4b_Pick & Place 1 Y Set Point(V);Standard-Variablentabelle;Real;%AD60;;PLC;Standard-Variablentabelle
4b_Pick & Place 1 X Set Point (V);Standard-Variablentabelle;Real;%AD64;;PLC;Standard-Variablentabelle
4b_Pick & Place 1 Z Set Point (V);Standard-Variablentabelle;Real;%AD68;;PLC;Standard-Variablentabelle
4b_Pick & Place 1 C(+);Standard-Variablentabelle;Bool;%A10.2;;PLC;Standard-Variablentabelle
4b_Pick & Place 1 (Grab);Standard-Variablentabelle;Bool;%A10.3;;PLC;Standard-Variablentabelle
Motor;Forderband;Bool;%A0.4;;PLC;Forderband
4b_Diffuse Sensor 13;Forderband;Bool;%E11.0;;PLC;Forderband
5a_to_warehouse;Forderband;Bool;%E12.0;;PLC;Forderband
5a_Roller Conveyor (6m) 2;Forderband;Bool;%A12.0;;PLC;Forderband
5a_Curved Roller Conveyor 1 CCW;Forderband;Bool;%A12.1;;PLC;Forderband
5b_1_to_Warehouse;Forderband;Bool;%E13.0;;PLC;Forderband
5b_Curved Roller Conveyor 2 CCW;Forderband;Bool;%A13.1;;PLC;Forderband
5b_Roller Conveyor (4m) 0;Forderband;Bool;%A13.0;;PLC;Forderband
